,img_path,source,refer_type,weight,paper_l,paper_w,paper_a,paper_angle,paper_dip,body_l,body_l_j,body_h,body_h_j,forebody_w,hindbody_w,heart_girth,heart_girth_j,waist,legs_d,legs_d_j,chest_waist_d,chest_waist_d_j,trunk_a,trunk_legs_a,chest_waist_a,hexagon_a,hexagon_head_a,hexagon_chest_a,hexagon_back_a,hexagon_ass_a,nose_chest_dr,chest_waist_dr
0,115,picc,A4,71.5,0.297,0.21,0.062369999999999995,1.5870532659909833,1.08,1.08,1.1,0.53,0.52,0.33,0.25,0.34,0.33,0.28,0.62,0.63,0.42,0.42,0.37,0.21,0.14,0.2413,0.0779,0.0703,0.0678,0.0253,0.5,1.33
1,142,picc,A4,50.5,0.297,0.21,0.062369999999999995,1.5408701002925855,1.1,1.01,1.03,0.58,0.57,0.25,0.21,0.3,0.29,0.27,0.5,0.51,0.34,0.34,0.3,0.15,0.1,0.2029,0.0682,0.0491,0.059,0.0265,0.48,1.25
2,154,picc,A4,31.0,0.297,0.21,0.062369999999999995,1.554715002111179,1.09,0.89,0.91,0.37,0.36,0.23,0.2,0.24,0.23,0.22,0.51,0.52,0.35,0.35,0.21,0.12,0.08,0.1514,0.0393,0.0426,0.0483,0.0212,0.41,1.61
3,103,picc,A4,68.0,0.297,0.21,0.062369999999999995,1.6386818488667978,0.82,1.42,1.35,0.6,0.63,0.3,0.22,0.32,0.35,0.3,0.61,0.58,0.4,0.4,0.45,0.2,0.13,0.2729,0.1194,0.0642,0.0611,0.0282,0.56,1.04
4,178,picc,A4,100.0,0.297,0.21,0.062369999999999995,1.5833932920875256,0.91,1.28,1.25,0.62,0.63,0.26,0.17,0.33,0.35,0.32,0.69,0.67,0.43,0.43,0.42,0.23,0.14,0.2771,0.0994,0.0715,0.0785,0.0278,0.51,1.18
5,20,picc,A4,100.0,0.297,0.21,0.062369999999999995,1.4278024807467884,1.0,1.43,1.43,0.5,0.5,0.34,0.26,0.36,0.36,0.31,0.72,0.72,0.47,0.47,0.51,0.26,0.17,0.3263,0.1132,0.0846,0.086,0.0425,0.48,1.29
6,98,picc,A4,56.95,0.297,0.21,0.062369999999999995,1.501223251629592,0.85,1.52,1.46,0.69,0.72,0.31,0.21,0.33,0.36,0.31,0.73,0.7,0.39,0.39,0.5,0.24,0.13,0.2976,0.1292,0.0634,0.0687,0.0362,0.56,0.99
7,139,picc,A4,73.4,0.297,0.21,0.062369999999999995,1.6369520357261897,1.05,1.22,1.23,0.67,0.66,0.29,0.23,0.34,0.33,0.31,0.63,0.64,0.38,0.38,0.41,0.21,0.13,0.2732,0.1013,0.0641,0.0722,0.0357,0.5,1.16
8,61,picc,A4,78.75,0.297,0.21,0.062369999999999995,1.5731511345160871,1.01,1.11,1.11,0.55,0.55,0.26,0.26,0.29,0.29,0.29,0.6,0.6,0.39,0.39,0.32,0.17,0.11,0.2244,0.0633,0.0562,0.0722,0.0328,0.42,1.37
9,181,picc,A4,42.7,0.297,0.21,0.062369999999999995,1.5661442567949702,1.04,1.01,1.02,0.49,0.49,0.23,0.22,0.27,0.26,0.25,0.5,0.5,0.32,0.32,0.27,0.14,0.09,0.1831,0.0618,0.0433,0.0549,0.0232,0.5,1.23
10,36,picc,A4,82.75,0.297,0.21,0.062369999999999995,1.5339614142158844,1.11,1.47,1.51,0.38,0.37,0.1,0.0,0.41,0.39,0.28,0.84,0.86,0.61,0.61,0.6,0.34,0.25,0.3708,0.1323,0.1176,0.0788,0.0422,0.47,1.66
11,119,picc,A4,58.1,0.297,0.21,0.062369999999999995,1.5610275952017407,0.97,0.93,0.92,0.45,0.45,0.22,0.18,0.23,0.23,0.27,0.47,0.47,0.28,0.28,0.21,0.11,0.06,0.1515,0.0485,0.0299,0.0557,0.0174,0.46,1.19
12,41,picc,A4,80.3,0.297,0.21,0.062369999999999995,1.606842207372878,0.88,1.21,1.17,0.58,0.6,0.28,0.17,0.3,0.32,0.31,0.65,0.63,0.5,0.5,0.36,0.2,0.15,0.2509,0.0874,0.0754,0.0731,0.015,0.5,1.45
13,16,picc,A4,42.6,0.297,0.21,0.062369999999999995,1.6365499088591335,1.06,0.95,0.96,0.52,0.51,0.25,0.22,0.26,0.25,0.25,0.52,0.53,0.32,0.32,0.25,0.14,0.08,0.1724,0.0464,0.0407,0.0595,0.0258,0.44,1.31
14,158,picc,A4,100.0,0.297,0.21,0.062369999999999995,1.513480215960661,0.89,1.13,1.1,0.57,0.59,0.3,0.2,0.31,0.33,0.29,0.54,0.52,0.34,0.34,0.35,0.17,0.11,0.2123,0.0823,0.0523,0.0585,0.0193,0.61,0.99
15,57,picc,A4,70.3,0.297,0.21,0.062369999999999995,1.7061450705613967,1.07,1.23,1.25,0.57,0.56,0.33,0.27,0.35,0.34,0.29,0.64,0.65,0.41,0.41,0.43,0.22,0.14,0.2766,0.0881,0.0711,0.0814,0.036,0.48,1.28
16,174,picc,A4,40.35,0.297,0.21,0.062369999999999995,1.5973467740249396,0.88,1.06,1.03,0.55,0.57,0.24,0.14,0.25,0.27,0.24,0.53,0.51,0.32,0.32,0.26,0.13,0.08,0.1658,0.0629,0.0402,0.046,0.0168,0.53,1.15
17,123,picc,A4,68.5,0.297,0.21,0.062369999999999995,1.5326164855579227,0.88,1.18,1.14,0.55,0.57,0.27,0.16,0.3,0.32,0.3,0.66,0.64,0.42,0.42,0.35,0.2,0.13,0.2283,0.0794,0.0626,0.0632,0.0233,0.52,1.26
18,82,picc,A4,66.3,0.297,0.21,0.062369999999999995,1.5860543503390585,1.19,1.22,1.27,0.63,0.6,0.4,0.37,0.38,0.35,0.32,0.6,0.63,0.39,0.39,0.46,0.23,0.15,0.3089,0.1002,0.0736,0.09,0.045,0.49,1.21
